"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DATASHEET-URL";"DESCRIPTION";"FRES";"H";"IR";"ISAT";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATION-FORCE";"PACKAGE";"PART-NUMBER";"POPULARITY";"PRICE";"PURCHASE-URL";"Q";"QTY";"RDC-MAX";"SPICEPREFIX";"TP_SIGNAL_NAME";"VALUE";
"2";"";"434153017835";"434153017835";"FLASH, RESET";"WS-TASV J-Bend SMT Tact Switch 3.5x2.9 mm";"";"https://www.we-online.com/catalog/datasheet/434153017835.pdf";"";"";"1.7mm";"";"";"";"";"";"";"";"350g";"";"434153017835";"";"";"";"";" 4000 ";"";"";"";"";
"1";"";"PINHD-1X5";"1X05";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"";"";"";"";"";"";"";"";
"4";"100n";"C-EUC0603K";"C0603K";"C2, C3, C6, C11";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"C";"";"";
"2";"10k";"R-EU_R0603";"R0603";"R4, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";
"1";"10u";"C-EUC0805K";"C0805K";"C1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"C";"";"";
"1";"150080RS75000";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1u";"C-EUC0603K";"C0603K";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"C";"";"";
"3";"2.2uF";"C-EUC0603K";"C0603K";"C8, C9, C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"C";"";"";
"1";"22k1";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";
"2";"22uF/6.3V/20%";"C-EUC0805K";"C0805K";"C4, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"C";"";"";
"1";"24V 500mA";"PTCFUSE-1206";"R1206";"F1";"PTC fuses, resettable thermistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2k7";"R-EU_R0603";"R0603";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";
"1";"3.3uH";"WE-LQ_1812_744045003";"WE-LQ_1812";"L1";"WE-LQ SMD Inductor";"";"https://katalog.we-online.com/pbs/datasheet/744045003.pdf";"";"58MHz";"";"1.4A";"2.7A";"";"";"";"";"";"";"";" 744045003 ";"";"";"";" 45 ";"";"0.13Ohm";"";"";"3.3uH";
"1";"330";"4R-NEXB38V";"EXB38V";"RN1";"Array Chip Resistor";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"5";"";"";"";"";"";"";"";"";
"1";"430182070816";"430182070816";"430182070816";"S1";"WS-TASV SMT Tact Switch 6x6 mm";"";"https://www.we-online.com/catalog/datasheet/430182070816.pdf";"";"";"7mm";"";"";"";"";"";"";"";"160g";"";"430182070816";"";"";"";"";"550";"";"";"";"430182070816";
"1";"69k8";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"R";"";"";
"1";"AP62XXX-TSOT26";"AP62XXX-TSOT26";"AP62XXX-TSOT26";"U1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ESP-WROOM-32";"ESP-WROOM-32";"ESP-WROOM-32";"U4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCV-1,5/4-G-3,81";"MCV-1,5/4-G-3,81";"MCV-1,5/4-G-3,81";"U$101";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16";"PTR1TP14R";"PTR1TP14R";"TP14R";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";
"1";"REG710NA-5/250";"REG710NA-5/250";"SOT95P280X145-6N";"U2";"Check prices";"In Stock";"";" 30-mA Switched-Cap DC-DC Converter with fixed 5-V Output 6-SOT-23 -40 to 85 ";"";"";"";"";"Texas Instruments";"REG710NA-5/250";"";"";"";"";"SOT-23-6 Texas Instruments";"";"";"None";"https://pricing.snapeda.com/search/part/REG710NA-5/250/?ref=eda";"";"";"";"";"";"";
"1";"SK34A";"DIODE-DO214AC";"DO214AC";"D1";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"14";"";"";"";"";"";"";"";"";
"1";"SN74AHCT125PWR";"SN74AHCT125PWR";"SOP65P640X120-14N";"U3";"Check availability";"In Stock";"";" Quadruple Bus Buffer Gates With 3-State Outputs 14-TSSOP -40 to 125 ";"";"";"";"";"Texas Instruments";"SN74AHCT125PWR";"";"";"";"";"TSSOP-14 Texas Instruments";"";"";"None";"https://pricing.snapeda.com/search/part/SN74AHCT125PWR/?ref=eda";"";"";"";"";"";"";
