"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_ELECTRONICS-PURCHASE-URL";"AVAILABILITY";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"H";"MF";"MOUSER-PURCHASE-URL";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATION-FORCE";"PACKAGE";"PART-NUMBER";"POPULARITY";"PRICE";"PURCHASE-URL";"QTY";"SPICEPREFIX";"TEXAS_INSTRUMENTS-PURCHASE-URL";
"2";"";"434153017835";"434153017835";"FLASH, RESET";"WS-TASV J-Bend SMT Tact Switch 3.5x2.9 mm";"";"";"https://www.we-online.com/catalog/datasheet/434153017835.pdf";"";"";"1.7mm";"";"";"";"";"";"";"350g";"";"434153017835";"";"";"";" 4000 ";"";"";
"1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"STATUS";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X5";"1X05";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"100n";"C-EUC0603";"C0603";"C1, C3, C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"C";"";
"1";"10k";"4R-NEXB38V";"EXB38V";"RN1";"Array Chip Resistor";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"5";"";"";"";"";"";
"1";"10µ";"C-EUC0603";"C0603";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"C";"";
"1";"1uF";"C-EUC0603";"C0603";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"C";"";
"4";"2.2uF";"C-EUC0603";"C0603";"C6, C7, C8, C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"C";"";
"1";"24V 500mA (507-1803-1-ND)";"PTCFUSE-1206";"R1206";"F1";"PTC fuses, resettable thermistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2k7";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"R";"";
"1";"330";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"R";"";
"1";"ESP-WROOM-02";"ESP-WROOM-02";"MODULE_ESP-WROOM-02";"U1";"Wi-Fi Module w/ESP8266 802.11b/g/n 20dBm 20x18x3mm";"";"Unavailable";"";" Wi-Fi Module w/ESP8266 802.11b/g/n 20dBm 20x18x3mm ";"";"";"Espressif Systems";"";"ESP-WROOM-02";"";"";"";"";"SMD-18 Espressif Systems";"";"";"None";"";"";"";"";
"1";"MCV-1,5/4-G-3,81";"MCV-1,5/4-G-3,81";"MCV-1,5/4-G-3,81";"U$101";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"REG710NA-5/250";"REG710NA-5/250";"SOT95P280X145-6N";"U4";"Check prices";"";"In Stock";"";" 30-mA Switched-Cap DC-DC Converter with fixed 5-V Output 6-SOT-23 -40 to 85 ";"";"";"Texas Instruments";"";"REG710NA-5/250";"";"";"";"";"SOT-23-6 Texas Instruments";"";"";"None";"https://pricing.snapeda.com/search/part/REG710NA-5/250/?ref=eda";"";"";"";
"1";"SK34A";"DIODE-DO214AC";"DO214AC";"D1";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SN74AHCT125D";"SN74AHCT125D";"SOIC127P600X175-14N";"U3";"Check prices";"https://snapeda.com/shop?store=Arrow+Electronics&id=359107";"Good";"";" Quadruple Bus Buffer Gates With 3-State Outputs 14-SOIC -40 to 125 ";"https://snapeda.com/shop?store=DigiKey&id=359107";"";"Texas Instruments";"https://snapeda.com/shop?store=Mouser&id=359107";"SN74AHCT125D";"";"";"";"";"SOIC-14 Texas Instruments";"";"";"None";"";"";"";"https://snapeda.com/shop?store=Texas+Instruments&id=359107";
"1";"TLV76733DRVR";"TLV76733DRVR";"SON65P200X200X80-7N";"U2";"Check prices";"";"In Stock";"";" 1-A, 16-V, high-PSRR, high-accuracy, low-dropout voltage regulator with enable 6-WSON -40 to 125 ";"";"";"Texas Instruments";"";"TLV76733DRVR";"";"";"";"";"WSON-6 Texas Instruments";"";"";"None";"https://pricing.snapeda.com/search/part/TLV76733DRVR/?ref=eda";"";"";"";
